ticker,event_date,event_type,alpha,beta,nearest_earnings_date,days_to_earnings,abs_days_to_earnings,earnings_surprise_pct,pre_earnings,CAR_pre20_pre1,CAR_0_1,CAR_0_5,CAR_0_10,CAR_0_20
META,2025-04-09,S - Sale,0.0012702121660878,0.9465895390858629,2025-04-30 16:00:00,14,14,23.53,True,-0.0060816476784019,0.0032563954870553,-0.0520370904664863,-0.0823709365794557,-0.0556317769785938
META,2025-04-10,S - Sale,0.0012828897046513,0.9507886730197196,2025-04-30 16:00:00,13,13,23.53,True,0.0197734530663565,-0.0535494052018675,-0.102711707484196,-0.1133938375814773,-0.0973209627883153
META,2025-04-16,S - Sale,0.000980565644001,0.97602692720145,2025-04-30 16:00:00,9,9,23.53,True,-0.1037476526127029,-0.0092713076172674,-0.0188892850496125,0.0107063495083363,0.0591678371436063
META,2025-04-17,S - Sale,0.0009530886285524,0.969225285415316,2025-04-30 16:00:00,8,8,23.53,True,-0.1022021719079231,-0.0013744334921282,-0.0060932789957676,0.0191936138866869,0.0805334185985598
META,2025-04-23,S - Sale,0.0010514750438223,0.9776193065269988,2025-04-30 16:00:00,5,5,23.53,True,-0.0855586855934132,0.0113656397168819,0.0288527533090705,0.0749462138521502,0.1098047509615726
META,2025-04-24,S - Sale,0.0009995197657318,0.9683197926606966,2025-04-30 16:00:00,4,4,23.53,True,-0.0379403645707007,0.0104633088234614,0.0171557317660295,0.0615387590226355,0.094403442997466
META,2025-04-30,S - Sale,0.0007702245033678,0.985415549408842,2025-04-30 16:00:00,0,0,23.53,False,-0.0811592115163774,0.016836067513038,0.0548843500932397,0.0360392355803775,0.0412441917844585
META,2025-05-01,S - Sale,0.0008723945752023,0.9930580864110192,2025-04-30 16:00:00,-1,1,23.53,False,-0.0669973266129139,0.0538699395056143,0.0519127149283553,0.0448493655135634,0.0594565606957455
META,2025-05-06,S - Sale,0.0008028766482865,1.02856833121104,2025-04-30 16:00:00,-4,4,23.53,False,0.0707494972454663,0.0007021837604854,-0.0191842678830969,-0.0140777754340544,-0.0133943269701548
META,2025-05-07,S - Sale,0.0009844935318666,1.029679235928262,2025-04-30 16:00:00,-5,5,23.53,False,0.0625346483953395,0.002365857096969,0.0255834655867542,-0.0037733993371185,-0.0060049207187764
META,2025-05-08,S - Sale,0.0009744251966026,1.0267299167141697,2025-04-30 16:00:00,-6,6,23.53,False,0.0766193768562849,-0.0202097789143833,0.0218317728893959,-0.01583204429171,-0.0117637496151563
META,2025-05-14,S - Sale,0.0006146165852939,1.0776494912767678,2025-04-30 16:00:00,-10,10,23.53,False,0.0883638751860573,-0.0254397421054168,-0.0378407646475818,-0.0342793437878051,-0.0261664429374823
META,2025-05-15,S - Sale,0.0004769642188014,1.0772900608123377,2025-07-30 16:00:00,10,10,21.82,True,0.0924398470017778,-0.03355644052786,-0.0357353765745211,-0.0300343902967792,-0.0213636113529892
META,2025-05-19,S - Sale+OE,0.0006064640730133,1.078167612366104,2025-07-30 16:00:00,8,8,21.82,True,0.0395073987014375,-0.0024348125556683,0.0028963275801366,0.0043636674817054,0.0110313607110847
META,2025-05-21,S - Sale,0.0006341558380013,1.0834414861602948,2025-07-30 16:00:00,6,6,21.82,True,0.0436477819725625,0.0101411033217379,0.0053601674132456,0.0132777819121768,0.0132777819121768
META,2025-05-22,S - Sale,0.0004530686189752,1.0811159900762075,2025-07-30 16:00:00,5,5,21.82,True,0.033250845369965,-0.0064341092172431,-0.0092052643411036,0.002254881793052,0.002254881793052
META,2025-05-29,S - Sale,0.0007673954187898,1.0768887872759287,2025-07-30 16:00:00,1,1,21.82,True,-0.0023687965018998,0.0037949149784784,0.0037949149784784,0.0037949149784784,0.0037949149784784
MSFT,2024-11-12,S - Sale,-0.0002396492689959,0.8406920505677986,2024-10-30 16:00:00,-9,9,6.25,False,-0.049606725383932,0.0205840742374643,0.0213759168681604,0.014971547574971,0.0319909258195995
MSFT,2024-11-25,S - Sale,-0.0002804850744897,0.8340546545203988,2024-10-30 16:00:00,-18,18,6.25,False,-0.0101843443008452,0.0193460272482965,0.007386376304647,0.0323088550498698,0.034846648133396
MSFT,2024-12-02,S - Sale,-0.000600589139285,0.8763098789957535,2024-10-30 16:00:00,-22,22,6.25,False,0.0269456308549659,0.007523372729904,0.0208016124763823,0.0346604978181702,0.0237899094012266
MSFT,2024-12-05,S - Sale,-0.0005643880756309,0.8770011503764417,2024-10-30 16:00:00,-25,25,6.25,False,0.0059509993421109,0.0096111473181718,0.0178645545478507,0.0177417955930245,-0.0007723420547479
